what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894085450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894403230
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408894405250
error,log,,,"An exception has thrown while performing a search",1408894409450
error,log,,,"An exception has thrown while performing a search",1408894409460
error,log,,,"An exception has thrown while performing a search",1408894409470
error,log,,,"An exception has thrown while performing a search",1408894409480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408894409530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408894411200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408894417850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894418550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894448121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408894458141
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408894459451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408894464841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408894467601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408894487841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408894489751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408894490941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408894509741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408894511211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408894513211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408894514581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408894549591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894553091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894580931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408894591951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408894592951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408894593981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894596861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894715632
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408894722252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894826632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894828072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408894829362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895098272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408895103012
error,log,,,"An exception has thrown while performing a search",1408895106852
error,log,,,"An exception has thrown while performing a search",1408895106962
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1408895107292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408895108582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895136792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895145332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895267033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895440623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895448083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895468623
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408895472023
error,log,,,"An exception has thrown while performing a search",1408895481873
error,log,,,"An exception has thrown while performing a search",1408895481923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408895481933
error,log,,,"An exception has thrown while performing a search",1408895481993
error,log,,,"An exception has thrown while performing a search",1408895482013
error,log,,,"An exception has thrown while performing a search",1408895482033
error,log,,,"An exception has thrown while performing a search",1408895482043
error,log,,,"An exception has thrown while performing a search",1408895482043
error,log,,,"An exception has thrown while performing a search",1408895482053
error,log,,,"An exception has thrown while performing a search",1408895482063
error,log,,,"An exception has thrown while performing a search",1408895482073
error,log,,,"An exception has thrown while performing a search",1408895482083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895484963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895549003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408895555383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895560593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895577263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895578953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895580063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895583713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895628133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895659074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895820730
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408895824860
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408895827320
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408895827840
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408895832310
error,log,,,"An exception has thrown while performing a search",1408895836760
error,log,,,"An exception has thrown while performing a search",1408895836790
error,log,,,"An exception has thrown while performing a search",1408895836800
error,log,,,"An exception has thrown while performing a search",1408895836810
error,log,,,"An exception has thrown while performing a search",1408895836840
error,log,,,"An exception has thrown while performing a search",1408895836860
error,log,,,"An exception has thrown while performing a search",1408895836960
error,log,,,"An exception has thrown while performing a search",1408895836990
error,log,,,"An exception has thrown while performing a search",1408895837030
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1408895837180
error,log,,,"An exception has thrown while performing a search",1408895864461
error,log,,,"An exception has thrown while performing a search",1408895864471
error,log,,,"An exception has thrown while performing a search",1408895864471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408895864561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895874681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895878861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895887231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408895888821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408895898401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408895905231
error,log,,,"An exception has thrown while performing a search",1408895907591
error,log,,,"An exception has thrown while performing a search",1408895907601
error,log,,,"An exception has thrown while performing a search",1408895907611
error,log,,,"An exception has thrown while performing a search",1408895907621
error,log,,,"An exception has thrown while performing a search",1408895907631
error,log,,,"An exception has thrown while performing a search",1408895907631
error,log,,,"An exception has thrown while performing a search",1408895907671
error,log,,,"An exception has thrown while performing a search",1408895907671
error,log,,,"An exception has thrown while performing a search",1408895907681
error,log,,,"An exception has thrown while performing a search",1408895907691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408895907751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408895910431
error,log,,,"An exception has thrown while performing a search",1408895922101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408895922101
error,log,,,"An exception has thrown while performing a search",1408895922111
error,log,,,"An exception has thrown while performing a search",1408895922121
error,log,,,"An exception has thrown while performing a search",1408895922141
error,log,,,"An exception has thrown while performing a search",1408895922141
error,log,,,"An exception has thrown while performing a search",1408895922151
error,log,,,"An exception has thrown while performing a search",1408895922161
error,log,,,"An exception has thrown while performing a search",1408895922161
error,log,,,"An exception has thrown while performing a search",1408895922171
error,log,,,"An exception has thrown while performing a search",1408895922181
error,log,,,"An exception has thrown while performing a search",1408895922191
error,log,,,"An exception has thrown while performing a search",1408895922201
error,log,,,"An exception has thrown while performing a search",1408895922211
error,log,,,"An exception has thrown while performing a search",1408895922221
error,log,,,"An exception has thrown while performing a search",1408895922231
error,log,,,"An exception has thrown while performing a search",1408895922231
error,log,,,"An exception has thrown while performing a search",1408895922241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408895933551
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineDown",1408895942361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408895959691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408895961911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408895978311
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1408896013531
