what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408890151360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408890167251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408890175731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408890190331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408890195461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408890196161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408890219221
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408890221321
error,log,,,"An exception has thrown while performing a search",1408890224961
error,log,,,"An exception has thrown while performing a search",1408890224961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408890225041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408890227191
error,log,,,"An exception has thrown while performing a search",1408890227221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408890228791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408890229721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408890251641
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408890259361
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1408890261681
error,log,,,"Resource is out of sync with the file system: '/php/source/db_queries.php'.",1408890261761
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408890261871
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408890261911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408890267801
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1408890271081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408890272551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408890275661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408890293991
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408890296421
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408891035063
error,log,,,"Unexpected runtime error while computing a text hover",1408891046353
error,log,,,"Unexpected runtime error while computing a text hover",1408891051483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408891060073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408891077873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408891094083
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1408891104523
